担当者,アーティスト,曲名（optional）,URL,id,name,artists,popularity,duration_ms,tempo,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,ジャンル,genre_acoustic,genre_alt-rock,genre_alternative,genre_anime,genre_dance,genre_edm,genre_electro,genre_electronic,genre_garage,genre_grunge,genre_hip-hop,genre_indie,genre_indie pop,genre_j-dance,genre_j-idol,genre_j-pop,genre_j-rock,genre_k-pop,genre_mandopop,genre_metal,genre_pop,genre_punk,genre_punk-rock,genre_r&b,genre_reggae,genre_rock,genre_rockabilly,genre_singer-songwriter,genre_soul,genre_techno,genre_trance,genre_trip-hop,genre_turkish,genre_nan,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0,mode_0.0,mode_1.0
黒田,嵐,Happiness,https://open.spotify.com/intl-ja/track/0Ns63lt28epRgED3Tnhmth?si=ce5af2610a3246d7,0Ns63lt28epRgED3Tnhmth,Happiness,['ARASHI'],0.651685393258427,0.2135193294282769,0.394793769829824,0.44262295081967207,0.8181818181818183,0.5161290322580645,0.43636363636363634,0.23076923076923084,0.3333333333333339,0.2542372881355932,0.5543478260869564,0.31428571428571433,0.5543478260869564,0.9591836734693877,Happy/Excited,Relax/Chill,Relax/Chill,Happy/Excited,応援ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
黒田,嵐,A・RA・SHI,https://open.spotify.com/intl-ja/track/1kdGYCHCff09E2FASM5IVY?si=15947a9342874da7,1kdGYCHCff09E2FASM5IVY,A・RA・SHI,['ARASHI'],0.6629213483146067,,0.475627343524661,0.42622950819672123,0.8181818181818183,0.3870967741935485,0.9818181818181819,0.23076923076923084,0.3333333333333339,0.2542372881355932,0.6413043478260869,0.2571428571428572,0.6413043478260869,0.9489795918367347,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,パーティーソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
黒田,嵐,Love so sweet,https://open.spotify.com/intl-ja/track/10G6iBGzoMi9qXgDV9qyBy?si=abcda21d88434984,10G6iBGzoMi9qXgDV9qyBy,Love so sweet,['ARASHI'],0.6629213483146067,0.26099762270422655,0.23218921257571384,0.3278688524590164,0.7272727272727273,0.41935483870967727,0.9636363636363636,0.3076923076923075,0.3333333333333339,0.33898305084745767,0.43478260869565216,0.5,0.43478260869565216,0.8775510204081632,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
黒田,嵐,Monster,https://open.spotify.com/intl-ja/track/7jqRTdBUqNhJaI0fKdOClO?si=d6eb91b7fd034312,7jqRTdBUqNhJaI0fKdOClO,Monster,['ARASHI'],0.6741573033707865,0.22744048495631608,0.5473752523795787,0.4098360655737704,0.8181818181818183,0.5806451612903227,0.9818181818181819,0.3076923076923075,0.3333333333333339,0.28813559322033905,0.6847826086956521,0.2,0.6847826086956521,0.9897959183673469,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,鬱ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
黒田,嵐,Troublemaker,https://open.spotify.com/intl-ja/track/786L5PPUvqcX7vBmxCbtzi?si=558632902f154bc4,786L5PPUvqcX7vBmxCbtzi,Troublemaker,['ARASHI'],0.651685393258427,,0.23218921257571384,0.44262295081967207,0.8636363636363638,0.12903225806451601,0.9636363636363636,0.23076923076923084,0.3333333333333339,0.22033898305084748,0.49999999999999994,0.5,0.49999999999999994,0.9591836734693877,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,その他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
黒田,嵐,One Love,https://open.spotify.com/intl-ja/track/3r6Am8NvUDbuS2Yqv76ivi?si=331d675b8d6e49e9,3r6Am8NvUDbuS2Yqv76ivi,One Love,['ARASHI'],0.651685393258427,0.254406712930265,0.3120132679550042,0.2622950819672131,0.590909090909091,0.32258064516129026,0.9636363636363636,0.3076923076923075,0.5555555555555554,0.38983050847457634,0.5326086956521738,0.39999999999999997,0.5326086956521738,0.9795918367346939,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
黒田,嵐,GUTS!,https://open.spotify.com/intl-ja/track/384jVNcJAiC2XGPMRnZj1H?si=233a106a7d214971,384jVNcJAiC2XGPMRnZj1H,GUTS！,['ARASHI'],0.6067415730337078,0.26767719268718576,0.475627343524661,0.34426229508196726,0.7272727272727273,0.35483870967741926,0.9818181818181819,0.23076923076923084,0.6666666666666661,0.23728813559322037,0.6739130434782608,0.2571428571428572,0.6739130434782608,1.0,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
黒田,嵐,ワイルドアットハート,https://open.spotify.com/intl-ja/track/7jc1VLTIiYgREGfCpUg4ot?si=ef0183483c2243aaa,7jc1VLTIiYgREGfCpUg4ot,ワイルド アット ハート,['ARASHI'],0.651685393258427,,0.45399480819152,0.4590163934426229,0.6818181818181819,0.41935483870967727,0.43636363636363634,0.3076923076923075,0.5555555555555554,0.28813559322033905,0.5434782608695652,0.2714285714285714,0.5434782608695652,0.9285714285714286,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,応援ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
黒田,嵐,サクラ咲ケ,https://open.spotify.com/intl-ja/track/1hpmLnKKouKUN8nVd33KOi?si=1fa1d59028614852,1hpmLnKKouKUN8nVd33KOi,サクラ咲ケ,['ARASHI'],0.6629213483146067,,0.16772425728295343,0.5081967213114753,0.6818181818181819,0.25806451612903225,0.9454545454545455,0.23076923076923084,0.6666666666666661,0.3220338983050848,0.42391304347826086,0.5999999999999999,0.42391304347826086,0.9183673469387755,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
黒田,Vaundy,怪獣の花唄,https://open.spotify.com/intl-ja/track/7dTW21YAJxnAOiUh7Rtu9S?si=09a91246ef4e455f,7dTW21YAJxnAOiUh7Rtu9S,怪獣の花唄,['Vaundy'],0.8651685393258427,,0.10679261609460627,0.4098360655737704,0.8181818181818183,0.09677419354838701,0.9454545454545455,0.23076923076923084,0.44444444444444287,0.23728813559322037,0.3804347826086956,0.7142857142857144,0.3804347826086956,0.8877551020408163,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,失恋ソング,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
